id,zip_code,created_at,is_active,latitude,longitude
42,78230,2025-03-03 14:04:24,1,29.5407,-98.5521
43,78217,2025-03-03 14:04:24,1,29.5395,-98.4194
44,78124,2025-03-03 14:04:24,1,29.5684,-98.1517
45,78255,2025-03-03 14:04:24,1,29.6701,-98.6873
46,78015,2025-03-03 14:04:24,1,29.7327,-98.6646
47,78132,2025-03-03 14:04:24,1,29.7565,-98.1983
48,78133,2025-03-03 14:04:24,1,29.9112,-98.2374
49,78656,2025-03-03 14:04:24,1,29.8953,-97.8144
50,78640,2025-03-03 14:04:24,1,29.9966,-97.8335
51,78606,2025-03-03 14:04:24,1,30.0874,-98.4107
52,78610,2025-03-03 14:04:24,1,30.0918,-97.8534
53,78748,2025-03-03 14:04:24,1,30.1743,-97.8225
54,78617,2025-03-03 14:04:24,1,30.1745,-97.6134
55,78744,2025-03-03 14:04:24,1,30.1876,-97.7472
56,78721,2025-03-03 14:04:24,1,30.2721,-97.6868
57,78731,2025-03-03 14:04:24,1,30.3471,-97.7609
58,78757,2025-03-03 14:04:24,1,30.3437,-97.7316
59,78728,2025-03-03 14:04:24,1,30.4417,-97.6811
60,78634,2025-03-03 14:04:24,1,30.5257,-97.5672
61,78215,2025-03-03 14:04:24,1,29.4413,-98.4793
62,78244,2025-03-03 14:04:24,1,29.4793,-98.3476
63,78240,2025-03-03 14:04:24,1,29.5189,-98.6006
64,78154,2025-03-03 14:04:24,1,29.579,-98.2778
65,78023,2025-03-03 14:04:24,1,29.6321,-98.7542
66,78652,2025-03-03 14:04:24,1,30.1238,-97.8393
67,78747,2025-03-03 14:04:24,1,30.1204,-97.7433
68,78741,2025-03-03 14:04:24,1,30.2315,-97.7223
69,78653,2025-03-03 14:04:24,1,30.3388,-97.5323
70,78723,2025-03-03 14:04:24,1,30.3085,-97.6849
71,78645,2025-03-03 14:04:24,1,30.449,-97.9669
72,78214,2025-03-03 14:04:24,1,29.3641,-98.4924
73,78204,2025-03-03 14:04:24,1,29.4059,-98.5078
74,78838,2025-03-03 14:04:24,1,29.5474,-99.7128
75,78063,2025-03-03 14:04:24,1,29.6796,-98.9484
76,78148,2025-03-03 14:04:24,1,29.5465,-98.2954
77,78251,2025-03-03 14:04:24,1,29.4597,-98.6555
